fecha,UVA
2018-04-27,23.11
2018-04-28,23.13
2018-04-29,23.13
2018-04-30,23.13
2018-05-01,23.13
2018-05-02,23.13
2018-05-03,23.22
2018-05-04,23.23
2018-05-05,23.25
2018-05-06,23.25
2018-05-07,23.25
2018-05-08,23.31
2018-05-09,23.32
2018-05-10,23.34
2018-05-11,23.36
2018-05-12,23.38
2018-05-13,23.38
2018-05-14,23.38
2018-05-15,23.43
2018-05-16,23.45
2018-05-17,23.47
2018-05-18,23.49
2018-05-19,23.51
2018-05-20,23.51
2018-05-21,23.51
2018-05-22,23.57
2018-05-23,23.59
2018-05-24,23.61
2018-05-25,23.63
2018-05-26,23.63
2018-05-27,23.63
2018-05-28,23.63
2018-05-29,23.71
2018-05-30,23.73
2018-05-31,23.75
2018-06-01,23.77
2018-06-02,23.79
2018-06-03,23.79
2018-06-04,23.79
2018-06-05,23.85
2018-06-06,23.87
2018-06-07,23.89
2018-06-08,23.92
2018-06-09,23.94
2018-06-10,23.94
2018-06-11,23.94
2018-06-12,24.0
2018-06-13,24.02
2018-06-14,24.04
2018-06-15,24.06
2018-06-16,24.08
2018-06-17,24.08
2018-06-18,24.08
2018-06-19,24.13
2018-06-20,24.15
2018-06-21,24.15
2018-06-22,24.18
2018-06-23,24.2
2018-06-24,24.2
2018-06-25,24.2
2018-06-26,24.25
2018-06-27,24.26
2018-06-28,24.28
2018-06-29,24.3
2018-06-30,24.31
2018-07-01,24.31
2018-07-02,24.31
2018-07-03,24.37
2018-07-04,24.38
2018-07-05,24.4
2018-07-06,24.42
2018-07-07,24.43
2018-07-08,24.43
2018-07-09,24.43
2018-07-10,24.43
2018-07-11,24.5
2018-07-12,24.52
2018-07-13,24.53
2018-07-14,24.55
2018-07-15,24.55
2018-07-16,24.55
2018-07-17,24.61
2018-07-18,24.64
2018-07-19,24.67
2018-07-20,24.7
2018-07-21,24.73
2018-07-22,24.73
2018-07-23,24.73
2018-07-24,24.82
2018-07-25,24.85
2018-07-26,24.88
2018-07-27,24.9
2018-07-28,24.93
2018-07-29,24.93
2018-07-30,24.93
2018-07-31,25.02
2018-08-01,25.05
2018-08-02,25.08
2018-08-03,25.11
2018-08-04,25.14
2018-08-05,25.14
2018-08-06,25.14
2018-08-07,25.23
2018-08-08,25.26
2018-08-09,25.29
2018-08-10,25.32
2018-08-11,25.35
2018-08-12,25.35
2018-08-13,25.35
2018-08-14,25.44
2018-08-15,25.47
